symbol	ensembl
ACTBP3	
FRA7B	
PIK3R2	ENSG00000105647
ABCB7	ENSG00000131269
TNNT2	ENSG00000118194
H2BC5	ENSG00000158373
ASS1P14	ENSG00000257316
CDKN2B	ENSG00000147883
SLC39A14	ENSG00000104635
TGFBR1	ENSG00000106799
C4BPAP2	ENSG00000232621
BBS1	ENSG00000174483
HMGB2	ENSG00000164104
AMH	ENSG00000104899
DBP	ENSG00000105516
GOLGA2	ENSG00000167110
PTPRN2	
FUS	ENSG00000089280
COL27A1	ENSG00000196739
ACVR2A	ENSG00000121989
CTBP2	ENSG00000175029
APOBEC3F	ENSG00000128394
AGPAT2	ENSG00000169692
CLNS1AP1	ENSG00000213335
MCOLN3	ENSG00000055732
FGF4	ENSG00000075388
EXTL1	ENSG00000158008
KCNQ5	ENSG00000185760
DLG5	
ECHS1	ENSG00000127884
GPR34P	
MOCOS	ENSG00000075643
POLG	ENSG00000140521
B4GALT2	ENSG00000117411
AKT1	ENSG00000142208
PLK4	ENSG00000142731
MYBBP1A	ENSG00000132382
PRKAB1	ENSG00000111725
TNFRSF18	ENSG00000186891
IFNA5	ENSG00000147873
CMTM8	ENSG00000170293
CYCSP5	ENSG00000227735
CYB5R4	ENSG00000065615
MICB	
GSK1	
ANXA6	ENSG00000197043
RPL27	ENSG00000131469
RSPO1	ENSG00000169218
CYP2C9	ENSG00000138109
WIF1	ENSG00000156076
MLN	ENSG00000096395
COL9A2	ENSG00000049089
E2F2	
MMUT	ENSG00000146085
CNR1	ENSG00000118432
FGD1	ENSG00000102302
SENP2	ENSG00000163904
SPP1	ENSG00000118785
C5AR1	ENSG00000197405
ALOX5AP	ENSG00000132965
FGFBP2	ENSG00000137441
TACSTD2	ENSG00000184292
EPM2AIP1	ENSG00000178567
CRBN	ENSG00000113851
LONP1	ENSG00000196365
CXCR1	ENSG00000163464
HNRNPH2	ENSG00000126945
LY96	ENSG00000154589
CYP4F11	ENSG00000171903
NCBP2	ENSG00000114503
VSIR	ENSG00000107738
CDH18	ENSG00000145526
GRM8	ENSG00000179603
TUBA3D	ENSG00000075886
VWF	ENSG00000110799
SLAMF7	ENSG00000026751
BACE1	ENSG00000186318
FN1	ENSG00000115414
ADH1C	ENSG00000248144
IRS2	ENSG00000185950
STAG3	ENSG00000066923
RELA	ENSG00000173039
ATG16L1	
PDE2A	ENSG00000186642
CASP1	ENSG00000137752
ALDH2	ENSG00000111275
C4BPA	ENSG00000123838
CBS	ENSG00000160200
C9	ENSG00000113600
ASGR2	ENSG00000161944
IPO13	ENSG00000117408
DUSP2	ENSG00000158050
TG	ENSG00000042832
BMP5	ENSG00000112175
CCL18	
MIR107	ENSG00000198997
FRA11E	
DDIT3	ENSG00000175197
SIN3A	ENSG00000169375
ALB	ENSG00000163631
FKBP1AP1	
ASS1P10	ENSG00000215325
FGA	ENSG00000171560
RAB4B-EGLN2	
NCAM1	ENSG00000149294
SLC31A1	ENSG00000136868
MARCHF1	ENSG00000145416
BMP2K	ENSG00000138756
VDAC2	ENSG00000165637
ADH1A	ENSG00000187758
SLFN11	ENSG00000172716
BOK	ENSG00000176720
TMEM43	ENSG00000170876
ECM2	
DSE	ENSG00000111817
TNFSF14	ENSG00000125735
GDF9	ENSG00000164404
CCNB1	ENSG00000134057
AMCN	
DYRK1A	ENSG00000157540
CYB5R1	ENSG00000159348
SENP7	ENSG00000138468
GNAI2P1	
BRAFPS1	
COL6A3	ENSG00000163359
SLC29A4	ENSG00000164638
CIC	ENSG00000079432
METTL21A	ENSG00000144401
HAVCR2	ENSG00000135077
GP2	ENSG00000169347
MYBPC3	ENSG00000134571
CFL1	ENSG00000172757
SIGLEC10	ENSG00000142512
IL15RA	ENSG00000134470
CTAA1	
ODC1	ENSG00000115758
AAMP	ENSG00000127837
RPS4X	ENSG00000198034
MSLN	ENSG00000102854
SERPINB2	ENSG00000197632
CHRM3	ENSG00000133019
SMN2	
RPSA	ENSG00000168028
ATXN2	ENSG00000204842
FGFR3	ENSG00000068078
BRD2	
ASIP	ENSG00000101440
RORC	ENSG00000143365
CRIPTO	ENSG00000241186
SPTA1	ENSG00000163554
TARP	
MFAP1	ENSG00000140259
RPL18A	ENSG00000105640
HOXB2	ENSG00000173917
MICU1	ENSG00000107745
GCF1	
HRG	ENSG00000113905
SLC38A3	ENSG00000188338
MYOM2	
FRA17B	
PAEP	ENSG00000122133
PHEX	ENSG00000102174
CIP2A	ENSG00000163507
CASR	ENSG00000036828
ARCN1	ENSG00000095139
BRD4	ENSG00000141867
CNC2	
RPL10	ENSG00000147403
CLK4	ENSG00000113240
SULT1E1	ENSG00000109193
UCP3	ENSG00000175564
NR1H2	ENSG00000131408
PISD	ENSG00000241878
CRLF2	
PTEN	
RTN4	ENSG00000115310
MAPK8	ENSG00000107643
ADRB1	ENSG00000043591
PTGDR2	ENSG00000183134
IGHG1	ENSG00000211896
GRIA2	ENSG00000120251
ARG2	ENSG00000081181
BDNF	ENSG00000176697
HKDC1	ENSG00000156510
JUP	ENSG00000173801
EPHX2	ENSG00000120915
TGM2	ENSG00000198959
ILKAP	ENSG00000132323
NGB	ENSG00000165553
NCOR2	ENSG00000196498
ELNL1	
MSH2	ENSG00000095002
NPBWR2	
DKK3	ENSG00000050165
KCNJ1	ENSG00000151704
MBOAT1	ENSG00000172197
ATP8B1	ENSG00000081923
SF3B2	ENSG00000087365
GANAB	ENSG00000089597
SSTR1	ENSG00000139874
CCR9	ENSG00000173585
SNCA	ENSG00000145335
PRKCG	ENSG00000126583
CMPK1	ENSG00000162368
DRG2	ENSG00000108591
HRH3	ENSG00000101180
GUCY1B2	ENSG00000123201
PIK3R4	ENSG00000196455
GABRB2	ENSG00000145864
FRA3D	
CRY2	ENSG00000121671
GRIK4	ENSG00000149403
TLK2	ENSG00000146872
GABRB1	ENSG00000163288
ATF2	ENSG00000115966
KCNA5	ENSG00000130037
SMDT1	
RRM2B	ENSG00000048392
NAT1	ENSG00000171428
PGF	ENSG00000119630
TPSB2	ENSG00000197253
ERCC2	ENSG00000104884
SH2D5	ENSG00000189410
PAPPA	ENSG00000182752
ICMT	ENSG00000116237
GNG11	ENSG00000127920
SLC6A5	ENSG00000165970
CACNG3	ENSG00000006116
GZMB	ENSG00000100453
NUCB1	ENSG00000104805
NUDT1	ENSG00000106268
PTPRF	ENSG00000142949
DRD3	ENSG00000151577
DOCK10	ENSG00000135905
TOR1A	ENSG00000136827
SRPK1	ENSG00000096063
KCNH5	ENSG00000140015
PSMA8	ENSG00000154611
CUX2	ENSG00000111249
MAPK10	ENSG00000109339
SLC19A1	ENSG00000173638
PTK6	ENSG00000101213
GNRHR2	ENSG00000211451
COLEC10	ENSG00000184374
TRIT1	ENSG00000043514
COL11A2	
ADCY3	ENSG00000138031
IGF2BP2	ENSG00000073792
CYP26A1	ENSG00000095596
ARHGAP28	ENSG00000088756
ABCG8	ENSG00000143921
SLC29A1	ENSG00000112759
CRIP1	ENSG00000213145
SCYL1	ENSG00000142186
CAMLG	ENSG00000164615
TSHB	ENSG00000134200
GAS8-AS1	ENSG00000221819
PICALM	ENSG00000073921
CRTC1	ENSG00000105662
EIF2S1	ENSG00000134001
PSENEN	ENSG00000205155
GSTZ1	ENSG00000100577
NFATC1	ENSG00000131196
RPL29	ENSG00000162244
TUB	ENSG00000166402
MKNK1	ENSG00000079277
GSKIP	ENSG00000100744
PARD3B	ENSG00000116117
RAD18	ENSG00000070950
LRP1	ENSG00000123384
GABPA	ENSG00000154727
DSC1	ENSG00000134765
NAE1	ENSG00000159593
POLR1A	ENSG00000068654
NHLH1	ENSG00000171786
AGRP	ENSG00000159723
KCNS2	ENSG00000156486
PRKCD	ENSG00000163932
GCLM	ENSG00000023909
ALOX15B	ENSG00000179593
FRA22A	
COX4I1	ENSG00000131143
C4A	
ITGB6	ENSG00000115221
CCL28	ENSG00000151882
HMAB	
NDUFA4	
GPX7	ENSG00000116157
ANXA2	ENSG00000182718
GYPA	ENSG00000170180
CDC7	ENSG00000097046
ANKFN1	ENSG00000153930
FRA2I	
MLKL	ENSG00000168404
ITGA2	ENSG00000164171
SMAD2	ENSG00000175387
FRV1	
TNF	
ERVK3	
C7	ENSG00000112936
NEDD8	
CLTC	ENSG00000141367
HLA-A	
GUCA2A	ENSG00000197273
COL6A2	ENSG00000142173
IGFBP4	ENSG00000141753
NR3C2	ENSG00000151623
ASLP1	
SLC18A2	ENSG00000165646
SGCA	ENSG00000108823
L3MBTL1	ENSG00000185513
ZIC4	ENSG00000174963
MTAP	ENSG00000099810
APOC4	ENSG00000267467
AKT1S1	ENSG00000204673
RAF1	ENSG00000132155
GRB14	ENSG00000115290
SOCS1	ENSG00000185338
RPL9	ENSG00000163682
SLCO6A1	ENSG00000205359
RPL7A	
GPR83	ENSG00000123901
CDH12P2	ENSG00000280638
SLC13A5	ENSG00000141485
CTNNA3	ENSG00000183230
CYP2C19	ENSG00000165841
EMD	ENSG00000102119
CHD1	ENSG00000153922
BTC	ENSG00000174808
CD24P4	
MIR4481	ENSG00000283699
FTO	ENSG00000140718
SETD2	ENSG00000181555
CACNA1F	ENSG00000102001
CADM2	ENSG00000175161
CNNM2	ENSG00000148842
HLA-DRB1	
KCNA10	ENSG00000143105
OAS1	ENSG00000089127
VIM	ENSG00000026025
FLT3	ENSG00000122025
EGFL7	ENSG00000172889
TNK1	
ATP1A4	ENSG00000132681
F13A3	
SMAD4	ENSG00000141646
ALDH1A3	ENSG00000184254
ADARB2	ENSG00000185736
P2RX1	ENSG00000108405
NR3C1	ENSG00000113580
MELK	ENSG00000165304
PLEKHH2	ENSG00000152527
ADGRV1	ENSG00000164199
GNMT	ENSG00000124713
KCNH4	ENSG00000089558
IKBKB	ENSG00000104365
BHMT2	ENSG00000132840
GPA33	ENSG00000143167
HCRT	ENSG00000161610
RPL35A	ENSG00000182899
ADORA3	ENSG00000282608
ARHGAP35	ENSG00000160007
METTL14	ENSG00000145388
MAT2A	ENSG00000168906
APEH	ENSG00000164062
CSNK1G2	ENSG00000133275
ABCC9	ENSG00000069431
CDH3	ENSG00000062038
NRP2	ENSG00000118257
INHA	ENSG00000123999
C1QBP	ENSG00000108561
HBB	ENSG00000244734
DUX1	
LIPG	ENSG00000101670
GNAI1	ENSG00000127955
MID1	ENSG00000101871
LEP	ENSG00000174697
DYNC2H1	ENSG00000187240
RYR1	ENSG00000196218
KMT5A	ENSG00000183955
MIR3117	ENSG00000264720
GCKR	ENSG00000084734
CD3E	ENSG00000198851
DOCK3	ENSG00000088538
ADCY5	ENSG00000173175
XRCC5	ENSG00000079246
SCTR	ENSG00000080293
DGKB	ENSG00000136267
GSTM4	ENSG00000168765
RPL23A	ENSG00000198242
DAOA	ENSG00000182346
MMP12	ENSG00000262406
CD8A	ENSG00000153563
BNIP3	ENSG00000176171
TPMT	ENSG00000137364
FNL1	
CX3CL1	ENSG00000006210
SYP	ENSG00000102003
TUBA3E	
CDKN1C	
DHFRP3	
TAOK1	ENSG00000160551
CYP2E1	ENSG00000130649
IFNB1	ENSG00000171855
CTNND1	ENSG00000198561
HPSE	ENSG00000173083
RPS9	
CYP3A	
DRD5P2	
INSR	ENSG00000171105
HOXA3	ENSG00000105997
RNASEL	ENSG00000135828
FRA2J	
CLCC1	ENSG00000121940
IDE	ENSG00000119912
DNAJB1	ENSG00000132002
IL3RA	
HOXC@	
GAPDHP69	
DPYD	ENSG00000188641
DHPS	ENSG00000095059
CLDN7	
C3AR1	ENSG00000171860
ORMDL3	ENSG00000172057
CYP4B1	ENSG00000142973
POMC	ENSG00000115138
ACTL5	
DEPTOR	ENSG00000155792
MT-ND4L	ENSG00000212907
MT1JP	ENSG00000290662
FRK	ENSG00000111816
FGF12	ENSG00000114279
TMEM196	ENSG00000173452
ATP2B2	ENSG00000157087
FOS	ENSG00000170345
DBN1	ENSG00000113758
KAT6B	
MAP4K2	ENSG00000168067
SUMO2	ENSG00000188612
HMAA	
PABPC1	ENSG00000070756
MST1	ENSG00000173531
IPO4	
MT-ND5	ENSG00000198786
VIP	ENSG00000146469
SRSF10	ENSG00000188529
SLC40A1	ENSG00000138449
LATS2	ENSG00000150457
FAM178B	ENSG00000168754
FRA6D	
TACR2	ENSG00000075073
GABRQ	ENSG00000268089
FRA5B	
PDK1	ENSG00000152256
RNF43	ENSG00000108375
RNF8	ENSG00000112130
PAK1	ENSG00000149269
CDCA3	ENSG00000111665
PSME3	ENSG00000131467
TNNI1	ENSG00000159173
PAH	ENSG00000171759
FPR2	ENSG00000171049
CDK18	ENSG00000117266
DCLK1	ENSG00000133083
MAP2K6	ENSG00000108984
NR2E1	ENSG00000112333
NR5A2	ENSG00000116833
PHKG2	ENSG00000156873
KCNV2	ENSG00000168263
CDKN1B	ENSG00000111276
PSMA5	ENSG00000143106
SMARCA4	ENSG00000127616
SLC5A2	ENSG00000140675
COL24A1	ENSG00000171502
SP7	
CDH23	ENSG00000107736
GSTA1	ENSG00000243955
ASPH	ENSG00000198363
KCNN4	ENSG00000104783
SLC30A8	ENSG00000164756
ANXA2P3	
GPS1	ENSG00000169727
LAMA1	ENSG00000101680
CCNY	ENSG00000108100
GPR42	ENSG00000126251
KLK3	ENSG00000142515
SELP	ENSG00000174175
MAPK14	ENSG00000112062
CD22	ENSG00000012124
SRY	ENSG00000184895
GYPB	ENSG00000250361
CDK2	ENSG00000123374
HOXA11	ENSG00000005073
SLC33A1	ENSG00000169359
PSMB7	ENSG00000136930
ARID1A	ENSG00000117713
GRP	ENSG00000134443
POLE2	ENSG00000100479
ACP1	ENSG00000143727
ERBB3	ENSG00000065361
MPPED2	ENSG00000066382
CTNND2	ENSG00000169862
ACTN4	
RPL14	ENSG00000188846
IL4	ENSG00000113520
SCN5A	ENSG00000183873
GSTM1	ENSG00000134184
HNF1B	
CDH16	ENSG00000166589
E2F5	ENSG00000133740
CCK	ENSG00000187094
CD276	ENSG00000103855
PDE8A	ENSG00000073417
PSMD4	ENSG00000159352
CTNNA1	ENSG00000044115
TNFRSF13B	ENSG00000240505
SHH	ENSG00000164690
OXER1	ENSG00000162881
SLC12A4	ENSG00000124067
PHOSPHO1	ENSG00000173868
LGALS8	ENSG00000116977
CBX1	ENSG00000108468
RPTOR	ENSG00000141564
GPR22	
SF3B3	ENSG00000189091
ANK1	ENSG00000029534
ARRB1	ENSG00000137486
DNAH8	ENSG00000124721
IGF2-AS	ENSG00000099869
TRBV20OR9-2	ENSG00000205274
PEBP1	ENSG00000089220
TPM3	ENSG00000143549
CTNS	ENSG00000040531
XK	ENSG00000047597
HDAC10	ENSG00000100429
PNMT	ENSG00000141744
TLE3	ENSG00000140332
GJA1	ENSG00000152661
CD5L	ENSG00000073754
EBVS1	
SAE1	ENSG00000142230
FGF2	ENSG00000138685
BTF3	ENSG00000145741
ACADVL	ENSG00000072778
PRSS2	
TERT	ENSG00000164362
DSCAM	
SQLE	ENSG00000104549
EFNB3	ENSG00000108947
ASD1	
CACNA1H	ENSG00000196557
TIMM8A	ENSG00000126953
SLITRK6	ENSG00000184564
IMPDH1	ENSG00000106348
DCX	ENSG00000077279
LAMA3	ENSG00000053747
HSPA1A	
GSC	ENSG00000133937
HDAC7	ENSG00000061273
CX3CR1	ENSG00000168329
REV3L	ENSG00000009413
PTPN6	ENSG00000111679
FOXF1	ENSG00000103241
SCN1A	ENSG00000144285
KCNB2	ENSG00000182674
MUC5AC	
ABCC8	ENSG00000006071
RPL26	ENSG00000161970
ATP1A1	ENSG00000163399
GRB10	ENSG00000106070
CA5A	ENSG00000174990
CTSB	
CCL14	
RPL18	ENSG00000063177
LPA	ENSG00000198670
SLC25A29	ENSG00000197119
CPA6	ENSG00000165078
HEXB	ENSG00000049860
MIR125B2	ENSG00000207863
ART2P	
AQP7	ENSG00000165269
SLC12A3	ENSG00000070915
EPHB2	ENSG00000133216
ITGAX	ENSG00000140678
HMS1	
CAMP	ENSG00000164047
MAP3K2	ENSG00000169967
IFNA13	ENSG00000233816
VCAM1	ENSG00000162692
ABCC1	
KCNH8	ENSG00000183960
XPC	ENSG00000154767
CACNG6	ENSG00000130433
SLC1A3	ENSG00000079215
CD82	ENSG00000085117
MEN1	ENSG00000133895
RAB5A	ENSG00000144566
RRM2	ENSG00000171848
GFER	
ATP2C1	ENSG00000017260
RGS12	ENSG00000159788
CLK3	ENSG00000179335
AHR	ENSG00000106546
POLH	ENSG00000170734
HCG22	
ADCY9	ENSG00000162104
CRYBB3	ENSG00000100053
APOF	ENSG00000175336
PICK1	ENSG00000100151
TBP	ENSG00000112592
RPS12	ENSG00000112306
LGALS9	ENSG00000168961
PLEKHA6	ENSG00000143850
TNKS	
COX5BP1	
IPO9	ENSG00000198700
MEGF11	
POLB	ENSG00000070501
METTL1	ENSG00000037897
YES1	ENSG00000176105
DCBLD1	ENSG00000164465
DDR1	
GRAMD1B	ENSG00000023171
HLA-DMB	
P2RY1	ENSG00000169860
PSMB9	
NPY2R	ENSG00000185149
AMPD1	ENSG00000116748
NCOA3	ENSG00000124151
NTRK3	ENSG00000140538
SETD7	ENSG00000145391
HNF4A	ENSG00000101076
SCN4A	ENSG00000007314
MIR23B	ENSG00000207563
HBA2	ENSG00000188536
SLC38A2	ENSG00000134294
TXN2	ENSG00000100348
CHIA	ENSG00000134216
LHFPL3	ENSG00000187416
CASP4	ENSG00000196954
EZH2	ENSG00000106462
ZDHHC3	ENSG00000163812
DRD2	ENSG00000149295
CYP2A7	ENSG00000198077
ZNF542P	ENSG00000240225
TK2	ENSG00000166548
ERVT4	
ATP12A	ENSG00000075673
AMFR	ENSG00000159461
RSPO3	ENSG00000146374
SF3B1	ENSG00000115524
AREG	ENSG00000109321
UGT1A5	ENSG00000288705
LIFR	ENSG00000113594
GSTM5P1	
P4HTM	ENSG00000178467
DVL2	ENSG00000004975
ZMIZ1	ENSG00000108175
AGAP1	ENSG00000157985
FOXO1	ENSG00000150907
KDM5C	ENSG00000126012
SIRPA	ENSG00000198053
PRKAG3	ENSG00000115592
E2F3P1	
UTS2R	ENSG00000181408
HLA-DRB3	
GLO1	ENSG00000124767
THBS4	ENSG00000113296
HYKK	ENSG00000188266
CEACAM3	ENSG00000170956
RFK	ENSG00000135002
IL2RG	ENSG00000147168
AKT3	
CYSLTR2	ENSG00000152207
ACACB	ENSG00000076555
TOP2A	ENSG00000131747
FTH1P21	
PLCG1	ENSG00000124181
GRK3	ENSG00000100077
EDNRA	ENSG00000151617
CALCRL	ENSG00000064989
GCLC	ENSG00000001084
SEM1	ENSG00000127922
SLC25A5	ENSG00000005022
PPP1R13L	ENSG00000104881
MTR	ENSG00000116984
TACR3	ENSG00000169836
ATP5MC2	ENSG00000135390
DHODH	ENSG00000102967
GUK2	
FGFRL1	ENSG00000127418
RGS4	ENSG00000117152
PTBP1	ENSG00000011304
SLC31A2	ENSG00000136867
APH1A	ENSG00000117362
RPL31	ENSG00000071082
HMG1P	
FGFR1	ENSG00000077782
SLC2A1	ENSG00000117394
NIPSNAP2	ENSG00000146729
ATG5	ENSG00000057663
MAOA	ENSG00000189221
MALAT1	ENSG00000251562
VAMP1	ENSG00000139190
ALOX12P2	ENSG00000291084
BCKDHA	ENSG00000248098
GPR39	ENSG00000183840
GCG	ENSG00000115263
BMP7	ENSG00000101144
LTB4R	
COL17A1	ENSG00000065618
PROM1	ENSG00000007062
SGSM3	ENSG00000100359
F2	ENSG00000180210
CYP3A51P	ENSG00000282277
KMT2A	ENSG00000118058
IL22RA1	ENSG00000142677
RPL38	ENSG00000172809
F2RL3	ENSG00000127533
CACNA1B	ENSG00000148408
RPL19	ENSG00000108298
ANK3	ENSG00000151150
PPP5C	ENSG00000011485
CYP4F2	ENSG00000186115
GK	ENSG00000198814
UTRN	ENSG00000152818
FBP1	ENSG00000165140
RHD	ENSG00000187010
CCN4	ENSG00000104415
HLA-B	
MAP2K5	ENSG00000137764
TCIM	ENSG00000176907
ADAM17	ENSG00000151694
CAMKK2	ENSG00000110931
XPO1	ENSG00000082898
TBX2	ENSG00000121068
EPHB6	
H1-2	ENSG00000187837
ACT	
H3-3A	ENSG00000163041
TAC3	ENSG00000166863
GBP6	ENSG00000183347
PSME2P2	ENSG00000225131
FRA1D	
BHMT	ENSG00000145692
KCNQ2	
IGH	
CYP2J2	ENSG00000134716
IL11RA	ENSG00000137070
LTF	ENSG00000012223
SIGLEC8	ENSG00000105366
CACNB3	ENSG00000167535
PRF1	ENSG00000180644
RYR2	ENSG00000198626
AKAP13	ENSG00000170776
MLST8	ENSG00000167965
HDAC4	ENSG00000068024
TGFB3	ENSG00000119699
CHEK2	ENSG00000183765
CNGB1	ENSG00000070729
EPHA1	
MMP16	ENSG00000156103
RHBDF2	ENSG00000129667
LGR4	ENSG00000205213
MAP3K1	ENSG00000095015
S100A12	ENSG00000163221
PSIP1	ENSG00000164985
AURKB	ENSG00000178999
KDM5A	ENSG00000073614
AEBP1	ENSG00000106624
GABRR2	ENSG00000111886
CPOX	ENSG00000080819
HAS3	ENSG00000103044
TICAM1	ENSG00000127666
CSNK1D	ENSG00000141551
CD40	ENSG00000101017
RCAN1	ENSG00000159200
CPT1A	ENSG00000110090
POLRMT	ENSG00000099821
EPHX1	ENSG00000143819
CFI	ENSG00000205403
SEMA4D	ENSG00000187764
ERVT1	
LIPF	ENSG00000182333
VKORC1L1	ENSG00000196715
MAP3K20	ENSG00000091436
PDE6H	ENSG00000139053
MDK	ENSG00000110492
GTF2E1	ENSG00000153767
CMKLR1	ENSG00000174600
NRXN1	ENSG00000179915
ENO3	ENSG00000108515
MUTYH	ENSG00000132781
ADAMTSL4-AS1	
CD63	ENSG00000135404
DNMT1	ENSG00000130816
MAD1L1	ENSG00000002822
CYP3A4	ENSG00000160868
MLLT3	ENSG00000171843
COL8A1	ENSG00000144810
ZBTB48	ENSG00000204859
GABBR1	
MT1IP	ENSG00000275691
STK39	ENSG00000198648
BRSK1	ENSG00000160469
GLRA1	ENSG00000145888
CHRM4	ENSG00000180720
ADAMTS18	ENSG00000140873
CACNB4	ENSG00000182389
CHRNA9	ENSG00000174343
GFRA1	ENSG00000151892
PLD1	ENSG00000075651
DIO1	ENSG00000211452
TFF1	ENSG00000160182
KDM4C	ENSG00000107077
GCK	ENSG00000106633
NISCH	ENSG00000010322
PLA2G10	
CEACAM1	ENSG00000079385
GPC4	ENSG00000076716
CXCL5	ENSG00000163735
HTR3E	ENSG00000186038
GREM2	ENSG00000180875
NOS3	ENSG00000164867
SELPLG	ENSG00000110876
GFRA2	ENSG00000168546
FAM177A1	ENSG00000151327
FRA17A	
SMPD1	ENSG00000166311
NMUR2	ENSG00000132911
IGHMBP2	ENSG00000132740
TBX21	ENSG00000073861
AKR1B10	ENSG00000198074
LINGO1	ENSG00000169783
ADIPOQ	ENSG00000181092
BRCA1	ENSG00000012048
NDUFA2	ENSG00000131495
CSF2	ENSG00000164400
UGT1A	
FRA6B	
CHI3L2	ENSG00000064886
SLC6A12	ENSG00000111181
PIK3R6	ENSG00000276231
COP1	ENSG00000143207
APLP2	ENSG00000084234
KCNJ10	ENSG00000177807
MGAT2	ENSG00000168282
ASS1P9	ENSG00000217791
PTAFR	ENSG00000169403
GADL1	ENSG00000144644
PSMD1	ENSG00000173692
TRPA1	ENSG00000104321
DPEP1	ENSG00000015413
PROCR	ENSG00000101000
HPRTP1	
ABCG1	ENSG00000160179
MSTN	ENSG00000138379
GSTP1P1	
SLC28A3	ENSG00000197506
