hgnc_id,symbol,locus_type,seq_region,start,stop
"387","AKR1C4","gene with protein product","10","5195462","5218949"
"388","AKR1D1","gene with protein product","7","138002324","138118305"
"389","AKR7A2","gene with protein product","1","19303965","19312144"
"390","AKR7A3","gene with protein product","1","19282573","19288770"
"391","AKT1","gene with protein product","14","104769349","104795751"
"392","AKT2","gene with protein product","19","40230317","40285536"
"393","AKT3","gene with protein product","1","243488233","243851079"
"395","ALAD","gene with protein product","9","113386312","113401290"
"396","ALAS1","gene with protein product","3","52198086","52214327"
"397","ALAS2","gene with protein product","X","55009055","55030977"
"399","ALB","gene with protein product","4","73397114","73421482"
"400","ALCAM","gene with protein product","3","105366909","105576900"
"402","ALDH1A1","gene with protein product","9","72900671","73080442"
"403","ALDH3A2","gene with protein product","17","19648136","19685760"
"404","ALDH2","gene with protein product","12","111766887","111817532"
"405","ALDH3A1","gene with protein product","17","19737984","19748943"
"406","ALDH4A1","gene with protein product","1","18871430","18902724"
"407","ALDH1B1","gene with protein product","9","38392702","38398661"
"408","ALDH5A1","gene with protein product","6","24494867","24537207"
"409","ALDH1A3","gene with protein product","15","100877714","100916626"
"410","ALDH3B1","gene with protein product","11","68008578","68029282"
"411","ALDH3B2","gene with protein product","11","67662160","67681224"
"412","ALDH9A1","gene with protein product","1","165662216","165698562"
"414","ALDOA","gene with protein product","16","30064164","30070457"
"415","ALDOAP1","pseudogene","3","52193170","52194785"
"416","ALDOAP2","pseudogene","10","125666875","125667950"
"417","ALDOB","gene with protein product","9","101420560","101449664"
"418","ALDOC","gene with protein product","17","28573115","28576948"
"420","AKR1B1P1","pseudogene","1","224574434","224575389"
"422","AKR1B1P3","pseudogene","11","16484084","16484671"
"423","AKR1B1P4","pseudogene","13","45687548","45688469"
"425","AKR1B1P2","pseudogene","3","74135959","74136892"
"427","ALK","gene with protein product","2","29192774","29921586"
"428","ALMS1","gene with protein product","2","73385758","73625166"
"429","ALOX12","gene with protein product","17","6996049","7010754"
"430","ALOX12B","gene with protein product","17","8072636","8087716"
"431","ALOX12P1","pseudogene","17","30529688","30542416"
"432","ALOX12P2","pseudogene","17","6853861","6954107"
"433","ALOX15","gene with protein product","17","4630919","4642294"
"434","ALOX15B","gene with protein product","17","8039034","8049134"
"435","ALOX5","gene with protein product","10","45374176","45446119"
"436","ALOX5AP","gene with protein product","13","30713478","30764426"
"437","ALPI","gene with protein product","2","232456125","232460753"
"438","ALPL","gene with protein product","1","21509397","21578410"
"439","ALPP","gene with protein product","2","232378724","232382889"
"441","ALPG","gene with protein product","2","232406844","232410714"
"443","ALS2","gene with protein product","2","201700267","201782112"
"445","SETX","gene with protein product","9","132261356","132354986"
"447","ZBED1","gene with protein product","X","2486414","2500976"
"449","ALX3","gene with protein product","1","110059870","110070672"
"450","ALX4","gene with protein product","11","44260440","44310139"
"451","AMACR","gene with protein product","5","33986165","34008104"
"452","AMBN","gene with protein product","4","70592256","70607288"
"453","AMBP","gene with protein product","9","114060127","114078328"
"457","AMD1","gene with protein product","6","110874770","110898879"
"460","AMD1P2","pseudogene","X","155828585","155829576"
"461","AMELX","gene with protein product","X","11293413","11300761"
"462","AMELY","gene with protein product","Y","6865918","6911752"
"463","AMFR","gene with protein product","16","56361452","56425545"
"464","AMH","gene with protein product","19","2249309","2252073"
"465","AMHR2","gene with protein product","12","53423855","53431672"
"466","AMLCR2","region","","",""
"467","AMMECR1","gene with protein product","X","110194186","110440318"
"468","AMPD1","gene with protein product","1","114673090","114695618"
"469","AMPD2","gene with protein product","1","109616104","109632051"
"470","AMPD3","gene with protein product","11","10308313","10507579"
"471","AMPH","gene with protein product","7","38383704","38631420"
"473","AMT","gene with protein product","3","49416778","49422685"
"474","AMY1A","gene with protein product","1","103655760","103664554"
"475","AMY1B","gene with protein product","1","103687415","103696454"
"476","AMY1C","gene with protein product","1","103745323","103758726"
"477","AMY2A","gene with protein product","1","103617427","103625780"
"478","AMY2B","gene with protein product","1","103553815","103579534"
"479","AMYP1","pseudogene","1","103713723","103719871"
"482","ANCR","region","","",""
"483","ANG","gene with protein product","14","20684177","20698971"
"484","ANGPT1","gene with protein product","8","107249482","107498055"
"485","ANGPT2","gene with protein product","8","6499632","6563409"
"487","ANGPT4","gene with protein product","20","869900","916334"
"489","ANGPTL1","gene with protein product","1","178849535","178871077"
"490","ANGPTL2","gene with protein product","9","127087348","127122635"
"491","ANGPTL3","gene with protein product","1","62597520","62606313"
"492","ANK1","gene with protein product","8","41653220","41896762"
"493","ANK2","gene with protein product","4","112818032","113384221"
"494","ANK3","gene with protein product","10","60026298","60733490"
"495","ANKRD2","gene with protein product","10","97572499","97583884"
"496","RIPK4","gene with protein product","21","41739369","41767089"
"497","TRPA1","gene with protein product","8","72019917","72075584"
"500","ANPEP","gene with protein product","15","89784895","89815401"
"507","SLC25A5P3","pseudogene","7","54419444","54420328"
"511","SLC25A5P5","pseudogene","7","32471513","32472409"
"512","SLC25A5P6","pseudogene","4","186328716","186329601"
"513","SLC25A5P7","pseudogene","6","121653795","121654690"
"533","ANXA1","gene with protein product","9","73151865","73170393"
"534","ANXA10","gene with protein product","4","168092537","168187736"
"535","ANXA11","gene with protein product","10","80150889","80205572"
"536","ANXA13","gene with protein product","8","123680794","123737402"
"537","ANXA2","gene with protein product","15","60347134","60402883"
"538","ANXA2P1","pseudogene","4","153307792","153308717"
"539","ANXA2P2","pseudogene","9","33624274","33625293"
"540","ANXA2P3","pseudogene","10","64825572","64826579"
"541","ANXA3","gene with protein product","4","78551747","78610451"
"542","ANXA4","gene with protein product","2","69644425","69827112"
"543","ANXA5","gene with protein product","4","121667946","121696995"
"544","ANXA6","gene with protein product","5","151100706","151157785"
"545","ANXA7","gene with protein product","10","73375101","73414076"
"546","ANXA8","gene with protein product","10","47460162","47484158"
"547","ANXA9","gene with protein product","1","150982249","150995634"
"548","AOAH","gene with protein product","7","36512941","36724549"
"549","AOC2","gene with protein product","17","42844580","42850707"
"550","AOC3","gene with protein product","17","42851184","42858130"
"553","AOX1","gene with protein product","2","200586014","200677064"
"554","AP1B1","gene with protein product","22","29327680","29388583"
"555","AP1G1","gene with protein product","16","71729000","71809201"
"556","AP1G2","gene with protein product","14","23559565","23568070"
"557","SYNRG","gene with protein product","17","37514807","37609472"
"558","AP1M2","gene with protein product","19","10572671","10587315"
"559","AP1S1","gene with protein product","7","101154456","101161596"
"560","AP1S2","gene with protein product","X","15825806","15854931"
"561","AP2A1","gene with protein product","19","49767001","49807114"
"562","AP2A2","gene with protein product","11","924881","1012245"
"563","AP2B1","gene with protein product","17","35578046","35726413"
"564","AP2M1","gene with protein product","3","184174689","184184214"
"565","AP2S1","gene with protein product","19","46838136","46850846"
"566","AP3B1","gene with protein product","5","78002326","78294698"
"567","AP3B2","gene with protein product","15","82659281","82710112"
"568","AP3D1","gene with protein product","19","2100988","2164468"
"569","AP3M1","gene with protein product","10","74120255","74150842"
"570","AP3M2","gene with protein product","8","42152946","42171673"
"571","AP3S2","gene with protein product","15","89830599","89894638"
"572","AP4B1","gene with protein product","1","113894194","113905201"
"573","AP4E1","gene with protein product","15","50908672","51005895"
"574","AP4M1","gene with protein product","7","100101549","100110345"
"575","AP4S1","gene with protein product","14","31025106","31130996"
"576","APAF1","gene with protein product","12","98645290","98735433"
"578","APBA1","gene with protein product","9","69427532","69672371"
"579","APBA2","gene with protein product","15","28884483","29118315"
"580","APBA3","gene with protein product","19","3750772","3761692"
"581","APBB1","gene with protein product","11","6395125","6419414"
"582","APBB2","gene with protein product","4","40810027","41216714"
"583","APC","gene with protein product","5","112707498","112846239"
"584","APCS","gene with protein product","1","159587826","159588865"
"586","APEH","gene with protein product","3","49674014","49683971"
"587","APEX1","gene with protein product","14","20455191","20457772"
"588","ATG12","gene with protein product","5","115828200","115841837"
"589","ATG5","gene with protein product","6","106045423","106325791"
"590","BIRC2","gene with protein product","11","102347211","102378670"
"591","BIRC3","gene with protein product","11","102317450","102339403"
"592","XIAP","gene with protein product","X","123859724","123913976"
"593","BIRC5","gene with protein product","17","78214186","78225636"
"594","API5","gene with protein product","11","43311963","43344529"
"595","API5P1","pseudogene","X","116106921","116108430"
"597","APLP1","gene with protein product","19","35867899","35879792"
"598","APLP2","gene with protein product","11","130068147","130144811"
"600","APOA1","gene with protein product","11","116835751","116837622"
"601","APOA2","gene with protein product","1","161222292","161223631"
"602","APOA4","gene with protein product","11","116820700","116823304"
"603","APOB","gene with protein product","2","21001429","21044073"
"604","APOBEC1","gene with protein product","12","7649400","7665908"
"605","APOBEC2","gene with protein product","6","41053202","41064891"
"607","APOC1","gene with protein product","19","44914247","44919349"
"608","APOC1P1","pseudogene","19","44926799","44931386"
"609","APOC2","gene with protein product","19","44946035","44949565"
"610","APOC3","gene with protein product","11","116829706","116833072"
"611","APOC4","gene with protein product","19","44942237","44945496"
"612","APOD","gene with protein product","3","195568705","195584033"
"613","APOE","gene with protein product","19","44905791","44909393"
"615","APOF","gene with protein product","12","56360568","56362857"
"616","APOH","gene with protein product","17","66212033","66256525"
"618","APOL1","gene with protein product","22","36253071","36267530"
"619","APOL2","gene with protein product","22","36226209","36239954"
"620","APP","gene with protein product","21","25880550","26171128"
"621","NAE1","gene with protein product","16","66802875","66873256"
"622","APPBP2","gene with protein product","17","60443158","60526242"
"626","APRT","gene with protein product","16","88809339","88811937"
"630","SHROOM2","gene with protein product","X","9786429","9949443"
"631","SHROOM2P1","pseudogene","Y","12537773","12544883"
"633","AQP1","gene with protein product","7","30911853","30925517"
"634","AQP2","gene with protein product","12","49950737","49958878"
"636","AQP3","gene with protein product","9","33441156","33447596"
"637","AQP4","gene with protein product","18","26852043","26865771"
"638","AQP5","gene with protein product","12","49961872","49965682"
"639","AQP6","gene with protein product","12","49967194","49977139"
"640","AQP7","gene with protein product","9","33383179","33402682"
"642","AQP8","gene with protein product","16","25215731","25228932"
"643","AQP9","gene with protein product","15","58138169","58185911"
"644","AR","gene with protein product","X","67544021","67730619"
"646","ARAF","gene with protein product","X","47561205","47571908"
"647","ARAFP2","pseudogene","7","63404842","63405400"
"648","ARC","gene with protein product","8","142611049","142614479"
"649","ARCN1","gene with protein product","11","118572390","118603033"
"651","AREG","gene with protein product","4","74445136","74455005"
"652","ARF1","gene with protein product","1","228082660","228099212"
"654","ARF3","gene with protein product","12","48935723","48957487"
"655","ARF4","gene with protein product","3","57571363","57598220"
"656","ARL4D","gene with protein product","17","43398993","43401137"
"657","ARF4P1","pseudogene","9","134078904","134079444"
"658","ARF5","gene with protein product","7","127588386","127591700"
"659","ARF6","gene with protein product","14","49893079","49897054"
"660","TRIM23","gene with protein product","5","65589690","65625975"
"661","ARFGAP3","gene with protein product","22","42796502","42858106"
"662","ARFRP1","gene with protein product","20","63698642","63708025"
"663","ARG1","gene with protein product","6","131470832","131584332"
"664","ARG2","gene with protein product","14","67619920","67651708"
"667","RHOA","gene with protein product","3","49359139","49412998"
"668","RHOB","gene with protein product","2","20447074","20449440"
"669","RHOC","gene with protein product","1","112701127","112707434"
"670","RHOD","gene with protein product","11","67056847","67072017"
"671","RND3","gene with protein product","2","150468195","150539011"
"672","RHOG","gene with protein product","11","3826978","3840959"
"673","ARHGAP1","gene with protein product","11","46677080","46700619"
"674","ARHGAP4","gene with protein product","X","153907367","153934999"
"675","ARHGAP5","gene with protein product","14","32076114","32159728"
"676","ARHGAP6","gene with protein product","X","11117651","11665920"
"677","ARHGAP8","gene with protein product","22","44752558","44862788"
"678","ARHGDIA","gene with protein product","17","81867721","81871378"
"679","ARHGDIB","gene with protein product","12","14942031","14961728"
"680","ARHGDIG","gene with protein product","16","280450","283010"
"681","ARHGEF1","gene with protein product","19","41883173","41930150"
"682","ARHGEF2","gene with protein product","1","155946851","156007070"
"683","ARHGEF3","gene with protein product","3","56727418","57079329"
"684","ARHGEF4","gene with protein product","2","130836914","131047263"
"685","ARHGEF6","gene with protein product","X","136665547","136780932"
"686","RHOH","gene with protein product","4","40191053","40246967"
"687","DIRAS3","gene with protein product","1","68045886","68051717"
"688","RHOJ","gene with protein product","14","63204114","63293508"
"689","ARIH1","gene with protein product","15","72474330","72602987"
"690","ARIH2","gene with protein product","3","48918821","48986382"
"691","PHOX2A","gene with protein product","11","72239077","72245664"
"692","ARL1","gene with protein product","12","101393116","101407772"
"693","ARL2","gene with protein product","11","65014160","65022184"
"694","ARL3","gene with protein product","10","102673731","102714397"
"695","ARL4A","gene with protein product","7","12686856","12690958"
